"Отметка времени","Пол","Возраст","Рано или поздно я собираюсь вступить в брак.","Мне кажется, что вступление в брак сделает меня счастливее.","У меня есть опасения относительно вступления в брак.","В долгосрочной перспективе я бы предпочел (-ла) вступить со своим постоянным партнером в брак, чем просто жить вместе.","В том, чтобы быть неженатым  (незамужней) я вижу больше преимуществ, чем в супружеской жизни.","На данный момент Вы считаете, что брак...","В чем Вы видите ценность брака? Выберите сновные достоинства брака (не более 3-х)."
"2020/04/10 6:01:27 PM GMT+7","Женский","24","Согласен (-на)","Согласен (-на)","Полностью согласен (-на)","Согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Завести своих детей;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/10 6:07:13 PM GMT+7","Мужской","24","Полностью согласен (-на)","Согласен (-на)","Согласен (-на)","Полностью согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Жить с человеком, к которому чувствуешь любовь и привязанность;Сексуальная близость"
"2020/04/10 6:13:42 PM GMT+7","Мужской","20","Согласен (-на)","Не согласен (-на)","Не согласен (-на)","Согласен (-на)","Не согласен (-на)","не имеет преимуществ","Более комфортная, обустроенная жизнь;Жить с человеком, к которому чувствуешь любовь и привязанность;Сексуальная близость"
"2020/04/10 6:14:38 PM GMT+7","Мужской","21","Согласен (-на)","Согласен (-на)","Не согласен (-на)","Согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Cоциальное доверие;Сексуальная близость"
"2020/04/10 6:14:42 PM GMT+7","Мужской","20","Согласен (-на)","Не согласен (-на)","Согласен (-на)","Согласен (-на)","Согласен (-на)","имеет определенные преимущества","Завести своих детей;Более комфортная, обустроенная жизнь;Cоциальное доверие"
"2020/04/10 6:14:42 PM GMT+7","Мужской","18","Согласен (-на)","Согласен (-на)","Согласен (-на)","Согласен (-на)","Не согласен (-на)","не имеет преимуществ","Получать эмоциональную поддержку;Финансовая стабильность;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/10 6:14:52 PM GMT+7","Мужской","21","Согласен (-на)","Согласен (-на)","Не согласен (-на)","Согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Завести своих детей;Сексуальная близость"
"2020/04/10 6:14:56 PM GMT+7","Мужской","20","Категорически не согласен (-на)","Категорически не согласен (-на)","Согласен (-на)","Не согласен (-на)","Полностью согласен (-на)","не имеет преимуществ","Сексуальная близость"
"2020/04/10 6:16:33 PM GMT+7","Женский","21","Полностью согласен (-на)","Согласен (-на)","Категорически не согласен (-на)","Полностью согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Более комфортная, обустроенная жизнь;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/10 6:17:24 PM GMT+7","Женский","22","Согласен (-на)","Не согласен (-на)","Не согласен (-на)","Согласен (-на)","Согласен (-на)","не имеет преимуществ","Получать эмоциональную поддержку;Завести своих детей;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/10 6:21:25 PM GMT+7","Женский","19","Согласен (-на)","Согласен (-на)","Полностью согласен (-на)","Согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Финансовая стабильность;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/10 6:23:45 PM GMT+7","Женский","18","Не согласен (-на)","Не согласен (-на)","Согласен (-на)","Согласен (-на)","Согласен (-на)","не имеет преимуществ","Получать эмоциональную поддержку;Более комфортная, обустроенная жизнь;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/10 6:24:14 PM GMT+7","Мужской","20","Полностью согласен (-на)","Не согласен (-на)","Не согласен (-на)","Полностью согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Более комфортная, обустроенная жизнь;Cоциальное доверие;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/10 6:24:18 PM GMT+7","Женский","23","Полностью согласен (-на)","Не согласен (-на)","Согласен (-на)","Согласен (-на)","Согласен (-на)","не имеет преимуществ","Завести своих детей;Более комфортная, обустроенная жизнь;Финансовая стабильность"
"2020/04/10 6:24:37 PM GMT+7","Женский","20","Полностью согласен (-на)","Не согласен (-на)","Не согласен (-на)","Полностью согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Cоциальное доверие;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/10 6:24:48 PM GMT+7","Мужской","22","Согласен (-на)","Не согласен (-на)","Согласен (-на)","Согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/10 6:25:11 PM GMT+7","Женский","18","Согласен (-на)","Не согласен (-на)","Согласен (-на)","Согласен (-на)","Согласен (-на)","имеет определенные преимущества","Завести своих детей;Финансовая стабильность;Cоциальное доверие"
"2020/04/10 6:26:21 PM GMT+7","Женский","22","Полностью согласен (-на)","Согласен (-на)","Согласен (-на)","Согласен (-на)","Согласен (-на)","имеет определенные преимущества","Завести своих детей;Более комфортная, обустроенная жизнь;Cоциальное доверие"
"2020/04/10 6:27:28 PM GMT+7","Мужской","20","Согласен (-на)","Не согласен (-на)","Не согласен (-на)","Согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Завести своих детей;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/10 6:31:23 PM GMT+7","Женский","22","Полностью согласен (-на)","Не согласен (-на)","Согласен (-на)","Согласен (-на)","Согласен (-на)","не имеет преимуществ","Завести своих детей"
"2020/04/10 6:32:08 PM GMT+7","Женский","23","Полностью согласен (-на)","Согласен (-на)","Согласен (-на)","Полностью согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Завести своих детей;Финансовая стабильность;Cоциальное доверие"
"2020/04/10 6:33:36 PM GMT+7","Мужской","21","Не согласен (-на)","Категорически не согласен (-на)","Согласен (-на)","Категорически не согласен (-на)","Полностью согласен (-на)","не имеет преимуществ","Реализовать ожидания своих родителей или сверстников"
"2020/04/10 6:38:19 PM GMT+7","Женский","19","Полностью согласен (-на)","Согласен (-на)","Не согласен (-на)","Согласен (-на)","Не согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Завести своих детей;Жить с человеком, к которому чувствуешь любовь и привязанность"
"2020/04/10 6:44:02 PM GMT+7","Женский","24","Согласен (-на)","Согласен (-на)","Согласен (-на)","Не согласен (-на)","Согласен (-на)","не имеет преимуществ","Завести своих детей"
"2020/04/10 6:45:21 PM GMT+7","Женский","21","Согласен (-на)","Не согласен (-на)","Согласен (-на)","Согласен (-на)","Согласен (-на)","имеет определенные преимущества","Получать эмоциональную поддержку;Жить с человеком, к которому чувствуешь любовь и привязанность"
